124 3
0.142385 0.0527486 -235.256 
0.00146477 -0.0361191 -1.01785 
0.00254876 -0.079174 -1.32119 
-1.85706e-005 -0.00347727 0.189319 
-0.000568951 -0.0601377 3.12986 
0.000748555 0.0214971 -2.00305 
0.0007 0.0157865 -1.73531 
0.00113247 -0.0338924 -0.612897 
0.000182083 -0.0179489 0.368119 
0.00198413 0.0320334 -4.43359 
0.0013516 -0.0088417 -1.8921 
-0.000112968 -0.00105652 0.224825 
0.000207834 0.012614 -0.816584 
0.000166051 0.0116465 -0.695518 
0.000464812 0.0129848 -1.23696 
-0.000159378 -0.00263909 0.357473 
0.000328189 0.00300222 -0.647256 
-0.000140028 0.00378797 0.0946316 
-0.000375166 0.000911026 0.577572 
4.04922e-005 0.00217452 -0.148636 
7.23624e-005 0.00387424 -0.261485 
-0.00013457 0.00578048 0.011614 
0.000110234 -0.00587534 0.0302161 
-1.17347e-005 -0.0101461 0.388876 
2.76317e-005 -0.00210313 0.0248942 
0.000199784 0.00389056 -0.464345 
0.000206808 -0.00409265 -0.191917 
-1.65219e-005 -0.00263316 0.121008 
2.71773e-005 0.00682668 -0.293752 
5.54791e-005 0.00206249 -0.161878 
-0.000109447 -0.00341996 0.302532 
5.10979e-005 -0.000291885 -0.0726832 
0.000131151 -0.00398017 -0.0649049 
0.000125014 -0.000845538 -0.176142 
1.02158e-005 -0.000772111 0.0117936 
8.69413e-005 -0.00216363 -0.0653949 
0.000151025 -0.00158973 -0.186731 
0.000206587 -0.00151056 -0.281071 
0.000103373 0.000240082 -0.177481 
-3.25369e-005 0.000762448 0.0251697 
-1.95461e-005 0.00249632 -0.0596442 
-6.0142e-005 -0.000818366 0.12941 
5.7539e-005 0.000284089 -0.104387 
-9.13882e-005 0.000114284 0.146372 
-8.97296e-005 -0.000903268 0.17834 
-1.64458e-005 -0.000989322 0.0634094 
-9.25776e-005 -7.15734e-005 0.153592 
-1.63218e-005 0.00217378 -0.0518835 
5.4017e-005 0.000386582 -0.100611 
-5.22686e-005 -0.00111151 0.127196 
-4.28621e-006 0.000766222 -0.018573 
3.91436e-005 -0.000893195 -0.0311333 
-7.75794e-005 0.000342009 0.112161 
3.83194e-006 0.000482384 -0.024087 
-4.59311e-005 0.00123435 0.0282458 
-5.95762e-007 -7.5497e-005 0.0033423 
-3.4025e-006 0.00119508 -0.0379841 
-1.15418e-005 0.00124799 -0.0269926 
2.21325e-005 0.00106509 -0.0731428 
-0.000109065 -0.000852092 0.20976 
-2.84079e-005 0.000981679 0.0113694 
-1.50595e-005 0.000235661 0.0157223 
-9.55767e-005 0.000174944 0.148228 
-4.3967e-005 0.000337459 0.0597557 
3.85749e-005 0.000336756 -0.0742663 
5.19893e-005 0.000120598 -0.088964 
1.36952e-005 -0.000642795 0.000590972 
-7.00429e-005 0.000119673 0.109826 
-3.05384e-005 -0.000253063 0.0592741 
2.22962e-005 -0.00240509 0.052128 
-5.90482e-005 -4.88628e-005 0.0977609 
1.88894e-005 0.000400188 -0.0460961 
3.63173e-005 0.00147736 -0.112939 
2.21673e-006 0.000462891 -0.0206289 
-2.05399e-005 5.17893e-005 0.0313328 
-5.49388e-005 -0.000655397 0.11335 
2.28615e-006 -0.000145806 0.00274013 
4.2101e-006 0.00106493 -0.0453059 
-3.12383e-005 -0.00102155 0.089076 
3.95404e-007 0.000757419 -0.0282114 
1.92185e-005 0.00105032 -0.069677 
1.4582e-005 -6.5318e-005 -0.0214588 
-1.83111e-006 -0.000615139 0.0259845 
9.51081e-006 0.000674229 -0.0405905 
-1.00398e-005 0.000552747 -0.00391888 
6.88394e-006 4.04398e-005 -0.0118971 
1.88208e-005 -0.000301583 -0.0192941 
1.81004e-005 -0.000327644 -0.018201 
5.88652e-006 1.14301e-005 -0.010565 
6.31669e-006 -0.000572169 0.010088 
3.44337e-005 -0.000822614 -0.0262143 
-1.18442e-005 0.000397997 0.00446775 
3.71898e-006 0.000174898 -0.0124244 
-6.9946e-006 -0.000346806 0.0241343 
-2.12886e-005 -0.000722827 0.0612787 
2.0512e-006 -3.48952e-005 -0.00204284 
4.40799e-006 0.00011666 -0.010816 
5.99847e-006 0.000549532 -0.0298719 
1.20431e-005 0.000308721 -0.0309283 
1.14041e-005 -0.000226191 -0.0102056 
3.30592e-005 -0.000439339 -0.0372279 
1.19845e-005 0.000401249 -0.0344941 
2.68705e-006 0.000448015 -0.0202928 
1.36242e-005 0.000584751 -0.0441781 
4.14007e-007 7.70148e-006 -0.00105982 
1.01166e-005 0.000332608 -0.0288012 
-2.3614e-005 2.78669e-005 0.0371529 
-1.59709e-005 0.000792594 -0.00325204 
3.43778e-006 3.80391e-005 -0.00656701 
1.24187e-005 -0.000326096 -0.00754773 
-8.50412e-006 0.000140477 0.00907352 
1.40906e-005 0.000297909 -0.0335592 
7.62185e-006 0.000123963 -0.0170304 
-6.94862e-006 -0.000278499 0.0213662 
-3.45611e-006 0.00051023 -0.0131891 
4.90297e-006 0.000240733 -0.0164211 
-8.95318e-006 4.44452e-005 0.0137827 
-8.80954e-006 3.21934e-005 0.0133298 
8.94174e-006 -3.49704e-005 -0.0127651 
9.57299e-007 7.92001e-006 -0.00211585 
1.27128e-005 9.18743e-005 -0.0246083 
6.93563e-006 6.22929e-006 -0.0120116 
2.19993e-005 5.67938e-006 -0.0357848 
1.25663e-005 -0.000322622 -0.00859021 
